"DriveID","StartSector","GB_Zone","ErrorCount","StartTime","EndTime","Duration"
"4","0xB42AE340","GB_1441","1","2022/9/21 上午 10:45:10","2022/9/21 上午 10:45:10","0 days"
"6","0x1FF668E0","GB_255","1","2022/2/9 上午 06:35:33","2022/2/9 上午 06:35:33","0 days"
"6","0x2D41BE8F8","GB_5792","1","2022/5/31 下午 02:28:58","2022/5/31 下午 02:28:58","0 days"
"8","0x1D74BF008","GB_3770","1","2022/6/29 上午 12:28:08","2022/6/29 上午 12:28:08","0 days"
"8","0x1DFEB4748","GB_3839","1","2021/12/28 上午 01:51:14","2021/12/28 上午 01:51:14","0 days"
"8","0x2A6511BF8","GB_5426","1","2022/3/21 下午 04:51:44","2022/3/21 下午 04:51:44","0 days"
"8","0x57240F9B8","GB_11154","1","2023/12/10 下午 08:45:01","2023/12/10 下午 08:45:01","0 days"
"14","0xCFB5D268","GB_1661","1","2021/6/14 上午 06:04:41","2021/6/14 上午 06:04:41","0 days"
"14","0xD02569A0","GB_1665","112","2021/6/13 下午 08:39:27","2021/6/15 上午 06:03:09","1.4 days"
"14","0xD586C1F8","GB_1708","2","2021/6/14 上午 06:14:47","2021/6/14 上午 06:15:08","0 days"
"14","0xD5BE84E0","GB_1709","2","2021/6/14 上午 06:15:45","2021/6/14 上午 06:16:10","0 days"
"14","0xD5F64678","GB_1711","3","2021/6/14 上午 06:18:51","2021/6/14 上午 06:19:20","0 days"
"17","0x92477498","GB_1170","1","2023/8/5 上午 12:19:45","2023/8/5 上午 12:19:45","0 days"
"22","0x1ABAA058","GB_213","1","2023/8/22 上午 02:35:14","2023/8/22 上午 02:35:14","0 days"
"22","0x37AF9F98","GB_445","1","2023/4/11 下午 04:06:03","2023/4/11 下午 04:06:03","0 days"
"22","0x37AFA010","GB_445","1","2022/12/24 上午 12:23:54","2022/12/24 上午 12:23:54","0 days"
"22","0x37AFA018","GB_445","2","2023/1/5 下午 12:27:42","2023/1/5 下午 12:27:56","0 days"
"23","0x1E7A07E8","GB_243","1","2024/2/18 上午 10:49:04","2024/2/18 上午 10:49:04","0 days"
"23","0x5D0A4A90","GB_744","1","2024/2/17 上午 10:39:03","2024/2/17 上午 10:39:03","0 days"
"23","0x995D9198","GB_1226","1","2024/2/18 上午 04:37:05","2024/2/18 上午 04:37:05","0 days"
"23","0x99919630","GB_1228","1","2024/2/18 下午 01:05:07","2024/2/18 下午 01:05:07","0 days"
"23","0x33B8E8160","GB_6620","1","2022/8/17 上午 08:09:50","2022/8/17 上午 08:09:50","0 days"
"23","0x3948F4C38","GB_7332","1","2022/10/31 下午 05:38:31","2022/10/31 下午 05:38:31","0 days"
"23","0x5B4430C18","GB_11682","1","2023/3/9 上午 12:08:43","2023/3/9 上午 12:08:43","0 days"
"23","0x5B8E3AC48","GB_11719","1","2023/5/18 上午 02:01:49","2023/5/18 上午 02:01:49","0 days"
"23","0x5C7964D30","GB_11836","1","2023/7/30 上午 02:23:59","2023/7/30 上午 02:23:59","0 days"
"23","0x5C7B25248","GB_11837","1","2023/7/14 下午 05:23:06","2023/7/14 下午 05:23:06","0 days"
"23","0x5CA4AF4C0","GB_11858","1","2023/9/2 下午 06:15:41","2023/9/2 下午 06:15:41","0 days"
"23","0x5CA595D10","GB_11858","1","2023/8/6 上午 01:56:16","2023/8/6 上午 01:56:16","0 days"
"23","0x5E380BA70","GB_12060","1","2023/4/20 下午 05:46:45","2023/4/20 下午 05:46:45","0 days"
"23","0x5E386E970","GB_12060","1","2023/5/5 下午 07:18:50","2023/5/5 下午 07:18:50","0 days"
"23","0x63120FA10","GB_12681","1","2023/5/10 上午 01:47:16","2023/5/10 上午 01:47:16","0 days"
"24","0x25480C00","GB_298","2","2021/11/3 下午 08:11:40","2021/11/3 下午 08:11:49","0 days"
"24","0x39799180","GB_459","1","2023/7/26 上午 03:07:54","2023/7/26 上午 03:07:54","0 days"
"24","0x9DF62650","GB_1263","1","2023/11/21 上午 04:57:34","2023/11/21 上午 04:57:34","0 days"
"24","0x14374E538","GB_2587","1","2023/9/12 上午 01:01:14","2023/9/12 上午 01:01:14","0 days"
"24","0x1F0164A00","GB_3968","1","2023/7/26 下午 09:20:38","2023/7/26 下午 09:20:38","0 days"
